Freq.	V(n001)
1.14790241385503e+00	1.00000000000000e+00,0.00000000000000e+00
1.14869835499706e+00	1.00000000000000e+00,0.00000000000000e+00
1.14949484803470e+00	1.00000000000000e+00,0.00000000000000e+00
1.15029189335063e+00	1.00000000000000e+00,0.00000000000000e+00
1.15108949132779e+00	1.00000000000000e+00,0.00000000000000e+00
1.15188764234938e+00	1.00000000000000e+00,0.00000000000000e+00
1.15268634679889e+00	1.00000000000000e+00,0.00000000000000e+00
1.15348560506005e+00	1.00000000000000e+00,0.00000000000000e+00
1.15428541751686e+00	1.00000000000000e+00,0.00000000000000e+00
1.15508578455361e+00	1.00000000000000e+00,0.00000000000000e+00
1.15588670655482e+00	1.00000000000000e+00,0.00000000000000e+00
1.15668818390531e+00	1.00000000000000e+00,6.93889390390723e-18
1.15749021699015e+00	1.00000000000000e+00,0.00000000000000e+00
1.15829280619467e+00	1.00000000000000e+00,0.00000000000000e+00
1.15909595190448e+00	1.00000000000000e+00,0.00000000000000e+00
1.15989965450546e+00	1.00000000000000e+00,-6.93889390390723e-18
1.16070391438375e+00	1.00000000000000e+00,0.00000000000000e+00
1.16150873192575e+00	1.00000000000000e+00,0.00000000000000e+00
1.16231410751814e+00	1.00000000000000e+00,0.00000000000000e+00
1.16312004154788e+00	1.00000000000000e+00,0.00000000000000e+00
1.16392653440216e+00	1.00000000000000e+00,0.00000000000000e+00
1.16473358646848e+00	1.00000000000000e+00,0.00000000000000e+00
1.16554119813459e+00	1.00000000000000e+00,0.00000000000000e+00
1.16634936978850e+00	1.00000000000000e+00,0.00000000000000e+00
1.16715810181850e+00	1.00000000000000e+00,0.00000000000000e+00
1.16796739461315e+00	1.00000000000000e+00,0.00000000000000e+00
1.16877724856127e+00	1.00000000000000e+00,0.00000000000000e+00
1.16958766405198e+00	1.00000000000000e+00,-6.93889390390723e-18
1.17039864147462e+00	1.00000000000000e+00,0.00000000000000e+00
1.17121018121884e+00	1.00000000000000e+00,0.00000000000000e+00
1.17202228367454e+00	1.00000000000000e+00,0.00000000000000e+00
1.17283494923191e+00	1.00000000000000e+00,0.00000000000000e+00
1.17364817828138e+00	1.00000000000000e+00,6.93889390390723e-18
1.17446197121368e+00	1.00000000000000e+00,0.00000000000000e+00
1.17527632841980e+00	1.00000000000000e+00,-6.93889390390723e-18
1.17609125029099e+00	1.00000000000000e+00,6.93889390390723e-18
1.17690673721880e+00	1.00000000000000e+00,0.00000000000000e+00
1.17772278959501e+00	1.00000000000000e+00,-6.93889390390723e-18
1.17853940781171e+00	1.00000000000000e+00,0.00000000000000e+00
1.17935659226125e+00	1.00000000000000e+00,0.00000000000000e+00
1.18017434333623e+00	1.00000000000000e+00,0.00000000000000e+00
1.18099266142956e+00	1.00000000000000e+00,0.00000000000000e+00
1.18181154693440e+00	1.00000000000000e+00,0.00000000000000e+00
1.18263100024417e+00	1.00000000000000e+00,0.00000000000000e+00
1.18345102175260e+00	1.00000000000000e+00,0.00000000000000e+00
1.18427161185366e+00	1.00000000000000e+00,0.00000000000000e+00
1.18509277094161e+00	1.00000000000000e+00,0.00000000000000e+00
1.18591449941098e+00	1.00000000000000e+00,0.00000000000000e+00
1.18673679765656e+00	1.00000000000000e+00,0.00000000000000e+00
1.18755966607344e+00	1.00000000000000e+00,-6.93889390390723e-18
1.18838310505696e+00	1.00000000000000e+00,0.00000000000000e+00
1.18920711500275e+00	1.00000000000000e+00,0.00000000000000e+00
1.19003169630671e+00	1.00000000000000e+00,0.00000000000000e+00
1.19085684936500e+00	1.00000000000000e+00,-6.93889390390723e-18
1.19168257457408e+00	1.00000000000000e+00,0.00000000000000e+00
1.19250887233066e+00	1.00000000000000e+00,0.00000000000000e+00
1.19333574303176e+00	1.00000000000000e+00,0.00000000000000e+00
1.19416318707462e+00	1.00000000000000e+00,0.00000000000000e+00
1.19499120485682e+00	1.00000000000000e+00,0.00000000000000e+00
1.19581979677616e+00	1.00000000000000e+00,-6.93889390390723e-18
1.19664896323075e+00	1.00000000000000e+00,0.00000000000000e+00
1.19747870461896e+00	1.00000000000000e+00,-6.93889390390723e-18
1.19830902133945e+00	1.00000000000000e+00,0.00000000000000e+00
1.19913991379115e+00	1.00000000000000e+00,0.00000000000000e+00
1.19997138237325e+00	1.00000000000000e+00,-6.93889390390723e-18
1.20080342748524e+00	1.00000000000000e+00,6.93889390390723e-18
1.20163604952689e+00	1.00000000000000e+00,6.93889390390723e-18
1.20246924889821e+00	1.00000000000000e+00,0.00000000000000e+00
1.20330302599954e+00	1.00000000000000e+00,0.00000000000000e+00
1.20413738123145e+00	1.00000000000000e+00,6.93889390390723e-18
1.20497231499482e+00	1.00000000000000e+00,-6.93889390390723e-18
1.20580782769080e+00	1.00000000000000e+00,-6.93889390390723e-18
1.20664391972080e+00	1.00000000000000e+00,0.00000000000000e+00
1.20748059148653e+00	1.00000000000000e+00,0.00000000000000e+00
1.20831784338998e+00	1.00000000000000e+00,0.00000000000000e+00
1.20915567583340e+00	1.00000000000000e+00,0.00000000000000e+00
1.20999408921933e+00	1.00000000000000e+00,0.00000000000000e+00
1.21083308395059e+00	1.00000000000000e+00,0.00000000000000e+00
1.21167266043028e+00	1.00000000000000e+00,0.00000000000000e+00
1.21251281906177e+00	1.00000000000000e+00,0.00000000000000e+00
1.21335356024873e+00	1.00000000000000e+00,-6.93889390390723e-18
1.21419488439508e+00	1.00000000000000e+00,0.00000000000000e+00
1.21503679190505e+00	1.00000000000000e+00,0.00000000000000e+00
1.21587928318313e+00	1.00000000000000e+00,6.93889390390723e-18
1.21672235863411e+00	1.00000000000000e+00,0.00000000000000e+00
1.21756601866302e+00	1.00000000000000e+00,0.00000000000000e+00
1.21841026367523e+00	1.00000000000000e+00,0.00000000000000e+00
1.21925509407634e+00	1.00000000000000e+00,-6.93889390390723e-18
1.22010051027226e+00	1.00000000000000e+00,0.00000000000000e+00
1.22094651266917e+00	1.00000000000000e+00,0.00000000000000e+00
1.22179310167354e+00	1.00000000000000e+00,-6.93889390390723e-18
1.22264027769211e+00	1.00000000000000e+00,0.00000000000000e+00
1.22348804113190e+00	1.00000000000000e+00,0.00000000000000e+00
1.22433639240024e+00	1.00000000000000e+00,-6.93889390390723e-18
1.22518533190472e+00	1.00000000000000e+00,-6.93889390390723e-18
1.22603486005320e+00	1.00000000000000e+00,6.93889390390723e-18
1.22688497725384e+00	1.00000000000000e+00,6.93889390390723e-18
1.22773568391510e+00	1.00000000000000e+00,0.00000000000000e+00
1.22858698044569e+00	1.00000000000000e+00,0.00000000000000e+00
1.22943886725462e+00	1.00000000000000e+00,0.00000000000000e+00
1.23029134475118e+00	1.00000000000000e+00,0.00000000000000e+00
1.23114441334496e+00	1.00000000000000e+00,0.00000000000000e+00
1.23199807344580e+00	1.00000000000000e+00,6.93889390390723e-18
1.23285232546385e+00	1.00000000000000e+00,0.00000000000000e+00
1.23370716980954e+00	1.00000000000000e+00,0.00000000000000e+00
1.23456260689358e+00	1.00000000000000e+00,6.93889390390723e-18
1.23541863712697e+00	1.00000000000000e+00,0.00000000000000e+00
1.23627526092099e+00	1.00000000000000e+00,0.00000000000000e+00
1.23713247868721e+00	1.00000000000000e+00,0.00000000000000e+00
1.23799029083749e+00	1.00000000000000e+00,0.00000000000000e+00
1.23884869778395e+00	1.00000000000000e+00,0.00000000000000e+00
1.23970769993903e+00	1.00000000000000e+00,6.93889390390723e-18
1.24056729771543e+00	1.00000000000000e+00,0.00000000000000e+00
1.24142749152615e+00	1.00000000000000e+00,0.00000000000000e+00
1.24228828178448e+00	1.00000000000000e+00,-6.93889390390723e-18
1.24314966890398e+00	1.00000000000000e+00,6.93889390390723e-18
1.24401165329851e+00	1.00000000000000e+00,0.00000000000000e+00
1.24487423538221e+00	1.00000000000000e+00,0.00000000000000e+00
1.24573741556952e+00	1.00000000000000e+00,0.00000000000000e+00
1.24660119427514e+00	1.00000000000000e+00,6.93889390390723e-18
1.24746557191409e+00	1.00000000000000e+00,0.00000000000000e+00
1.24833054890166e+00	1.00000000000000e+00,0.00000000000000e+00
1.24919612565342e+00	1.00000000000000e+00,0.00000000000000e+00
1.25006230258525e+00	1.00000000000000e+00,6.93889390390723e-18
1.25092908011331e+00	1.00000000000000e+00,0.00000000000000e+00
